source_file,vendor_raw,vendor,date,year,month,day,extension,size_bytes,destination,status,reason
AMAZON_20260105.csv,AMAZON,amazon,2026-01-05,2026,01,05,.csv,965,processed/2026/01/05/amazon/AMAZON_20260105.csv,copied,
AMAZON_20260214.xlsx,AMAZON,amazon,2026-02-14,2026,02,14,.xlsx,5651,processed/2026/02/14/amazon/AMAZON_20260214.xlsx,copied,
AMAZON_20260301.xlsx,AMAZON,amazon,2026-03-01,2026,03,01,.xlsx,5439,processed/2026/03/01/amazon/AMAZON_20260301.xlsx,copied,
ANTHROPIC_20260212.xlsx,ANTHROPIC,anthropic,2026-02-12,2026,02,12,.xlsx,5766,processed/2026/02/12/anthropic/ANTHROPIC_20260212.xlsx,copied,
ANTHROPIC_20260301.csv,ANTHROPIC,anthropic,2026-03-01,2026,03,01,.csv,650,processed/2026/03/01/anthropic/ANTHROPIC_20260301.csv,copied,
APPLE_20251231.xlsx,APPLE,apple,2025-12-31,2025,12,31,.xlsx,5617,processed/2025/12/31/apple/APPLE_20251231.xlsx,copied,
APPLE_20260301.csv,APPLE,apple,2026-03-01,2026,03,01,.csv,634,processed/2026/03/01/apple/APPLE_20260301.csv,copied,
APPLE_20260315.csv,APPLE,apple,2026-03-15,2026,03,15,.csv,522,processed/2026/03/15/apple/APPLE_20260315.csv,copied,
Amazon_20260212.csv,Amazon,amazon,2026-02-12,2026,02,12,.csv,407,processed/2026/02/12/amazon/Amazon_20260212.csv,copied,
Amazon_20260213.csv,Amazon,amazon,2026-02-13,2026,02,13,.csv,1277,processed/2026/02/13/amazon/Amazon_20260213.csv,copied,
Anthropic_20260115.csv,Anthropic,anthropic,2026-01-15,2026,01,15,.csv,1480,processed/2026/01/15/anthropic/Anthropic_20260115.csv,copied,
Anthropic_20260213.xlsx,Anthropic,anthropic,2026-02-13,2026,02,13,.xlsx,5447,processed/2026/02/13/anthropic/Anthropic_20260213.xlsx,copied,
Anthropic_20260214.xlsx,Anthropic,anthropic,2026-02-14,2026,02,14,.xlsx,5575,processed/2026/02/14/anthropic/Anthropic_20260214.xlsx,copied,
Apple_20251230.xlsx,Apple,apple,2025-12-30,2025,12,30,.xlsx,5253,processed/2025/12/30/apple/Apple_20251230.xlsx,copied,
Apple_20260212.csv,Apple,apple,2026-02-12,2026,02,12,.csv,628,processed/2026/02/12/apple/Apple_20260212.csv,copied,
Apple_20260214.xlsx,Apple,apple,2026-02-14,2026,02,14,.xlsx,5424,processed/2026/02/14/apple/Apple_20260214.xlsx,copied,
Apple_20260228.xlsx,Apple,apple,2026-02-28,2026,02,28,.xlsx,5612,processed/2026/02/28/apple/Apple_20260228.xlsx,copied,
GOOGLE_20251231.xlsx,GOOGLE,google,2025-12-31,2025,12,31,.xlsx,5239,processed/2025/12/31/google/GOOGLE_20251231.xlsx,copied,
GOOGLE_20260105.csv,GOOGLE,google,2026-01-05,2026,01,05,.csv,1326,processed/2026/01/05/google/GOOGLE_20260105.csv,copied,
GOOGLE_20260212.xlsx,GOOGLE,google,2026-02-12,2026,02,12,.xlsx,5443,processed/2026/02/12/google/GOOGLE_20260212.xlsx,copied,
GOOGLE_20260214.xlsx,GOOGLE,google,2026-02-14,2026,02,14,.xlsx,5608,processed/2026/02/14/google/GOOGLE_20260214.xlsx,copied,
